"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.07.28 5:00 PM GMT","Autódromo José Carlos Pace - Grand Prix","VRS GT Endurance Series","2019","3","N/A","7","2717",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"16","73","Audi R8 LMS","59","GT3 Class","-97379","374894","Maik Reukauf","12","111","0","Running","-","0","","1:32.785","1:31.618","99","71","16","113","13","4","42","DE-AT-CH","1874","1900","18","234","18","265","VRS GT Endurance Series","100","0","113"
"17","94","Ferrari 488 GT3","59","GT3 Class","-129674","-129674","Delta/cmsracing.com Motorsports VRS 2","15","62","0","Running","-2 L","0","","1:34.078","1:31.643","8","115","23","109","11","0","","","","","","","","","VRS GT Endurance Series","100","0","109"
"17","94","Ferrari 488 GT3","59","GT3 Class","-129674","20063","Miguel Alcrudo","15","62","0","Running","-","0","","1:33.041","1:31.643","8","40","15","109","11","2","18","Atlantic","2810","2826","19","391","19","351","VRS GT Endurance Series","100","0","109"
"17","94","Ferrari 488 GT3","59","GT3 Class","-129674","317284","Lowesky D'Oleo","15","62","0","Running","-","0","","1:34.639","1:32.195","109","75","8","109","11","4","22","Florida","1813","1843","18","269","19","373","VRS GT Endurance Series","100","0","109"
"18","55","BMW Z4 GT3","59","GT3 Class","-125921","-125921","SimFxRacing","11","016","0","Running","-2 L","0","","1:33.343","1:31.938","27","115","21","105","9","0","","","","","","","","","VRS GT Endurance Series","100","0","105"
"18","55","BMW Z4 GT3","59","GT3 Class","-125921","365131","Scott Mcfaull","11","016","0","Running","-","0","","1:32.801","1:31.938","27","39","12","105","9","2","36","UK and I","3228","3242","18","284","18","277","VRS GT Endurance Series","100","0","105"
"18","55","BMW Z4 GT3","59","GT3 Class","-125921","374375","Dan Carpenter2","11","016","0","Running","-","0","","1:33.022","1:32.309","94","40","1","105","9","4","36","UK and I","1753","1768","18","277","19","374","VRS GT Endurance Series","100","0","105"
"18","55","BMW Z4 GT3","59","GT3 Class","-125921","375855","Barry Hyslop","11","016","0","Running","-","0","","1:34.303","1:32.921","44","36","8","105","9","4","36","UK and I","1649","1662","18","255","18","269","VRS GT Endurance Series","100","0","105"
"19","72","Mercedes AMG GT3","59","GT3 Class","-126953","-126953","Team RIMA Racing","39","16","0","Running","-2 L","0","","1:33.516","1:32.148","47","115","14","101","7","0","","","","","","","","","VRS GT Endurance Series","100","0","101"
"19","72","Mercedes AMG GT3","59","GT3 Class","-126953","375830","Magnus Johansson","39","16","0","Running","-","0","","1:33.896","1:32.415","102","71","6","101","7","3","43","Scandinavia","2125","2147","18","298","20","443","VRS GT Endurance Series","100","0","101"
"19","72","Mercedes AMG GT3","59","GT3 Class","-126953","378070","Rickard Karlsson","39","16","0","Running","-","0","","1:32.896","1:32.148","47","44","8","101","7","3","43","Scandinavia","2316","2329","20","460","20","452","VRS GT Endurance Series","100","0","101"
"20","94","Ferrari 488 GT3","59","GT3 Class","-51514","-51514","E41 SRT - Red","36","641","0","Running","-2 L","0","","1:34.143","1:32.233","90","115","24","97","5","0","","","","","","","","","VRS GT Endurance Series","100","0","97"
"20","94","Ferrari 488 GT3","59","GT3 Class","-51514","343441","Pablo Soler","36","641","0","Running","-","0","","1:34.360","1:32.233","90","70","14","97","5","3","38","Iberia","2035","2053","17","152","18","263","VRS GT Endurance Series","100","0","97"
"20","94","Ferrari 488 GT3","59","GT3 Class","-51514","343446","Jose Rodriguez7","36","641","0","Running","-","0","","1:33.810","1:32.415","17","45","10","97","5","2","38","Iberia","2476","2488","18","268","18","281","VRS GT Endurance Series","100","0","97"
"21","94","Ferrari 488 GT3","59","GT3 Class","-121081","-121081","Axiom Autosports","35","55","0","Running","-3 L","0","","1:35.112","1:32.514","19","114","18","93","3","0","","","","","","","","","VRS GT Endurance Series","100","0","93"
"21","94","Ferrari 488 GT3","59","GT3 Class","-121081","149538","Jacob Whalley","35","55","0","Running","-","0","","1:35.164","1:32.514","19","74","15","93","3","4","32","West","1769","1800","19","372","19","370","VRS GT Endurance Series","100","0","93"
"21","94","Ferrari 488 GT3","59","GT3 Class","-121081","363814","Joshua Whalley","35","55","0","Running","-","0","","1:35.015","1:33.630","104","40","3","93","3","6","25","Carolina","1221","1237","15","348","15","380","VRS GT Endurance Series","100","0","93"
"22","55","BMW Z4 GT3","59","GT3 Class","-129667","-129667","TEAM GB ESPORTS VRS BLUE","38","24","0","Running","-3 L","0","","1:35.278","1:32.536","14","114","24","89","1","0","","","","","","","","","VRS GT Endurance Series","100","0","89"
"22","55","BMW Z4 GT3","59","GT3 Class","-129667","188257","William Bush","38","24","0","Running","-","0","","1:35.481","1:33.064","69","70","15","89","1","4","36","UK and I","1911","1932","15","342","15","366","VRS GT Endurance Series","100","0","89"
"22","55","BMW Z4 GT3","59","GT3 Class","-129667","327120","Merchant Daniel","38","24","0","Running","-","0","","1:34.960","1:32.536","14","44","9","89","1","4","39","France","1646","1659","17","198","18","275","VRS GT Endurance Series","100","0","89"
"23","73","Audi R8 LMS","59","GT3 Class","-93025","-93025","AURYS RACING TEAM GT3","41","20","0","Running","-4 L","0","","1:35.496","1:31.959","110","113","7","84","0","0","","","","","","","","","VRS GT Endurance Series","100","0","84"
"23","73","Audi R8 LMS","59","GT3 Class","-93025","190975","Santi Zerpa","41","20","0","Running","-","0","","1:36.535","1:32.972","25","55","3","84","0","6","38","Iberia","1984","1995","17","157","18","295","VRS GT Endurance Series","100","0","84"
"23","73","Audi R8 LMS","59","GT3 Class","-93025","228401","Antonio Jose Pina Vives","41","20","0","Running","-","0","","1:34.494","1:31.959","110","58","4","84","0","3","38","Iberia","2065","2076","17","143","18","285","VRS GT Endurance Series","100","0","84"
"24","72","Mercedes AMG GT3","59","GT3 Class","-112409","-112409","BBBstream Endurance SILVER","32","17","0","Running","-4 L","0","","1:33.859","1:32.542","107","113","20","80","0","0","","","","","","","","","VRS GT Endurance Series","100","0","80"
"24","72","Mercedes AMG GT3","59","GT3 Class","-112409","196890","Radoslav Klein","32","17","0","Running","-","0","","1:34.407","1:32.588","5","44","12","80","0","3","46","Central-Eastern Europe","2050","2057","20","438","20","420","VRS GT Endurance Series","100","0","80"
"24","72","Mercedes AMG GT3","59","GT3 Class","-112409","202013","Lukas Fort","32","17","0","Running","-","0","","1:33.325","1:32.542","107","34","3","80","0","3","46","Central-Eastern Europe","1702","1707","19","320","19","343","VRS GT Endurance Series","100","0","80"
"24","72","Mercedes AMG GT3","59","GT3 Class","-112409","342548","Michal Balonek","32","17","0","Running","-","0","","1:33.644","1:32.728","63","35","5","80","0","3","46","Central-Eastern Europe","2429","2434","19","338","19","352","VRS GT Endurance Series","100","0","80"
